LHJ,p2001,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,c2001,c2002,c2003,c2004,c2005,c2006,c2007,c2008,c2009,c2010,c2011,c2012
Santa Clara,1693171,1693162,1694211,1696919,1699521,1713839,1736327,1759534,1774890,1786429,1806881,1828597,545,499,726,1041,998,1046,873,700,558,598,641,1006
Santa Cruz,256166,255590,255122,254836,254725,255486,257601,259873,261912,263260,265569,267569,48,33,65,76,112,67,87,61,56,47,81,100
Shasta,167034,169578,171987,173469,174254,175238,175849,176629,176881,177472,178089,178477,14,43,41,69,46,37,18,23,71,36,45,175
Sierra,3587,3564,3545,3467,3430,3424,3344,3284,3243,3230,3146,3089,0,0,0,0,1,0,0,0,1,0,1,1
Siskiyou,44275,44384,44597,44785,44945,44891,44862,45041,44950,44893,44875,44598,5,3,5,7,12,10,0,0,13,6,10,7
Solano,402968,406816,408929,411389,410570,411351,412636,413167,412488,413117,414337,415913,222,278,250,297,408,353,341,311,320,436,243,356
Sonoma,465423,465998,468257,469933,469524,469967,472987,476650,480598,484084,486778,489283,35,90,115,144,152,126,93,69,92,97,134,153
Stanislaus,463128,473580,483007,490283,498020,503548,508372,510396,512052,515205,518141,522651,204,160,283,535,657,411,496,270,155,167,136,302
Sutter,80240,81936,84108,86092,88106,90628,92502,93465,94372,94669,94764,95351,22,30,49,61,78,35,22,14,20,30,24,22
Tehama,56465,57281,58415,59493,60461,61542,62011,62720,63122,63487,63514,63623,2,2,3,12,19,26,14,4,16,3,8,42
Trinity,12963,13159,13388,13519,13789,13823,13787,13730,13771,13713,13546,13470,1,1,0,3,0,2,2,0,1,1,1,0
Tulare,374152,381194,390370,399913,408403,416092,423608,431471,438408,443066,447665,451627,83,151,200,408,405,469,313,191,100,90,94,170
Tuolumne,55326,55910,56442,56369,56452,56558,56133,56060,55258,55144,55041,54339,1,2,7,10,10,9,14,7,3,4,15,17
Ventura,768991,779894,789367,795046,796867,801225,805911,812028,818546,825077,830215,834109,142,159,145,136,216,179,166,157,147,170,210,378
Yolo,175102,179271,182331,185707,187354,190809,194854,197589,199697,201311,202630,204314,37,31,42,49,72,64,70,65,51,54,47,88
Yuba,61426,62738,63962,65249,67712,69218,70221,71422,71796,72329,72620,73021,14,25,50,63,81,37,20,17,16,14,23,24
